category,subject,day,start_period,end_period,start_time,end_time,room
전공,채권법각론,수,4,6,12:00,15:00,난604
전공,행정구제법,목,7,9,15:00,18:00,성705
전공,형사소송법 2,월,4,6,12:00,15:00,성702
전공,민사소송법,화,7,9,15:00,18:00,성306
전공,사회 변동과 공법,화,1,3,09:00,12:00,성307
전공,법문서 작성과 모의재판,월,7,9,15:00,18:00,성310
전공,범죄학,수,7,9,15:00,18:00,성713
전공,국제통상법 2,화,4,6,12:00,15:00,성308
전공,영사법무 사례연구,목,4,6,12:00,15:00,성713
전공,영사법무학2,목,1,3,09:00,12:00,성308
전공,금융법,금,4,6,12:00,15:00,nan
전공,데이터와 규제혁신법,월,4,6,12:00,15:00,성310
전공,글로벌 경제와 법,화,1,3,09:00,12:00,nan
전공,비즈니스와 법,수,4,6,12:00,15:00,성701
전공,민주사회의 법과 시민역량,금,1,3,09:00,12:00,nan
전공,미적분학 및 연습,목,7,9,15:00,18:00,성305
전공,기초통계실습,수,1,3,09:00,12:00,수A-604
전공,기초통계실습,수,1,3,09:00,12:00,수A-603
전공,기초통계실습,화,4,6,12:00,15:00,수A-603
전공,핀테크 개론,목,4,6,12:00,15:00,수203
전공,행렬대수,월,4,6,12:00,15:00,수327
전공,행렬대수,목,7,9,15:00,18:00,성702
전공,해석학개론 및 연습 2,목,4,6,12:00,15:00,성302
전공,기하학 일반,월,7,9,15:00,18:00,수326
전공,선형대수학 및 연습 2,월,4,6,12:00,15:00,수C-740
전공,수학적 프로그래밍,수,4,6,12:00,15:00,수203
전공,확률 및 통계 입문,목,7,9,15:00,18:00,성306
전공,미분기하학 및 연습,월,4,6,12:00,15:00,수326
전공,현대대수학 및 연습 2,월,7,9,15:00,18:00,수C-739
전공,복소수적분론 및 연습,수,4,6,12:00,15:00,수405
전공,수학 교과교재연구 및 지도법,목,4,6,12:00,15:00,성612
전공,위상수학 및 연습 2,화,7,9,15:00,18:00,수326
전공,수치해석과 파이썬,화,4,6,12:00,15:00,성311
전공,편미분방정식과 응용,월,7,9,15:00,18:00,수408
전공,엑셀통계분석,수,7,9,15:00,18:00,수A-603
전공,엑셀통계분석,수,7,9,15:00,18:00,수A-604
전공,통계프로그래밍실습,목,1,3,09:00,12:00,수A-604
전공,수리통계학 2,화,1,3,09:00,12:00,성301
전공,회귀분석,수,4,6,12:00,15:00,성213
전공,회귀분석,월,4,6,12:00,15:00,성707
전공,파이썬통계분석,금,7,9,15:00,18:00,수A-604
전공,파이썬통계분석,화,7,9,15:00,18:00,수A-604
전공,데이터베이스개론,금,4,6,12:00,15:00,nan
전공,데이터베이스개론,금,4,6,12:00,15:00,성213
전공,생명과학자료분석,화,7,9,15:00,18:00,성707
전공,시계열자료분석,월,7,9,15:00,18:00,수327
전공,통계와 마케팅,수,7,9,15:00,18:00,성301
전공,SQL통계분석,화,4,6,12:00,15:00,nan
전공,SQL통계분석,화,4,6,12:00,15:00,수A-604
전공,다변량자료분석 II,목,4,6,12:00,15:00,수205
전공,데이터마이닝,월,4,6,12:00,15:00,수C-614
전공,금융데이터분석,화,7,9,15:00,18:00,수C-738
전공,고급통계분석,수,4,6,12:00,15:00,수A-604
전공,데이터사이언스실습,목,4,6,12:00,15:00,nan
전공,데이터기반 인공지능2,수,1,3,09:00,12:00,성504
전공,사회연결망분석,월,1,3,09:00,12:00,난205
전공,보험수리학개론,화,7,9,15:00,18:00,성311
전공,금융암호 구현 2,수,7,9,15:00,18:00,수210
전공,암호프로토콜개론,화,4,6,12:00,15:00,수326
전공,스마트 금융 데이터 분석,목,4,6,12:00,15:00,성707
전공,일반화학실험 2,화,4,6,12:00,15:00,운캠A 557
전공,일반화학실험 2,화,7,9,15:00,18:00,운캠A 557
전공,일반화학실험 2,수,4,6,12:00,15:00,운캠A 557
전공,일반화학실험 2,수,7,9,15:00,18:00,운캠A 557
전공,일반화학실험 2,목,1,3,09:00,12:00,운캠A 557
전공,일반화학실험 2,목,4,6,12:00,15:00,운캠A 449
전공,일반화학실험 2,목,4,6,12:00,15:00,운캠A 557
전공,일반화학실험 2,목,7,9,15:00,18:00,운캠A 449
전공,일반화학실험 2,목,7,9,15:00,18:00,운캠A 557
전공,분석화학실험,수,7,9,15:00,18:00,운캠A 449
전공,물리화학 2,화,1,3,09:00,12:00,운캠C 207
전공,유기화학 2,월,4,6,12:00,15:00,운캠C 212
전공,유기화학실험,화,4,6,12:00,15:00,운캠A 449
전공,분석화학 2,월,7,9,15:00,18:00,nan
전공,생화학 2,수,4,6,12:00,15:00,운캠B 529
전공,에너지 화학,목,4,6,12:00,15:00,운캠P 502
